Animation | rbxassetid://13080725587
JetStormHitChar | rbxassetid://134388348329948
JetStormHitVictim | rbxassetid://111484753910241
JetStormFinisherVictim | rbxassetid://94530998174789
JetStreamSet2FinisherVictim | rbxassetid://115612185913065
SoundBreakerFinisherChar | rbxassetid://119403752848542
SoundBreakerFinisherVictim | rbxassetid://115702658414668
JetStreamSet1FinisherChar | rbxassetid://115569727316359
JetStreamSet1FinisherVictim | rbxassetid://82759359819593
JetStreamSet2FinisherChar | rbxassetid://90540255788419
JetStormFinisherChar | rbxassetid://130837546276328
TurboReleaseAttack | rbxassetid://121423419435361
TurboReleaseHitPlayer | rbxassetid://134837466133943
FinisherTurboReleasePlayer | rbxassetid://101658717481189
FinisherTurboReleaseVictim | rbxassetid://128819965451930
TurboReleaseHitVictim | rbxassetid://95633007025146
TurboReleaseStart | rbxassetid://99778667812475
JetStormHitChar2 | rbxassetid://116512966737470
JetStormHitVictim2 | rbxassetid://113134837313978
120%FINISHER | rbxassetid://120986794091951
120%FinisherVictim | rbxassetid://87526335401034
BurningSoulFinisher | rbxassetid://16442530988
BurningSoulTargetFinisher | rbxassetid://16442524715
BurningSoulNormal | rbxassetid://16271844564
BurningSoulNormalTarget | rbxassetid://16271843131
FinalMoveVariant2Char | rbxassetid://117259153706472
FinalMoveVariant2Victim | rbxassetid://92182675934475
FinalMoveVariant1Victim | rbxassetid://79722557720323
FinalMoveVariant1Char | rbxassetid://88111769176382
Punch1 | rbxassetid://100035951033606
Punch2 | rbxassetid://79787017587720
Punch3 | rbxassetid://94298271463257
Punch4 | rbxassetid://108495355115760
Uppercut | rbxassetid://85338428838556
FrontDash | rbxassetid://120515398299537
punch1 | rbxassetid://71064390671639
punch2 | rbxassetid://113302934282694
punch3 | rbxassetid://103692467047605
punch4 | rbxassetid://118311121122152
Uppercut | rbxassetid://81071140102723
Downslam | rbxassetid://128014387387570
DashPunchComboStarter | rbxassetid://107997952752051
DashAirComboStarter | rbxassetid://88192092088526
DirtyWork | rbxassetid://87251408293338
RenovationStartup | rbxassetid://102164666686594
RenovationHitChar | rbxassetid://79027581065130
RenovationHitVictim | rbxassetid://82549532701924
RenovationGun | rbxassetid://70778943387314
DirtyWorkFinisherUser | rbxassetid://114308336522009
DirtyWorkFinisherVictim | rbxassetid://96036441892906
RenovationFinisherChar | rbxassetid://87415631962990
RenovationFinisherVictim | rbxassetid://122346626303348
